,description,clean_text,skill_set,joined_skills,from,to
10,"Job SummaryWe at NetXs Solutions,Ahmedabad have URGENT job openings for ""Jr. JAVA Developer"" and looking for a person having knowledge and skills listed below:JSPServletsAJAXStrutsHibernateJava ScriptMicrosoft SQL ServerPlease provide following information along with your resume:Current Job Location:Willing to relocate:Current Salary:Expected Salary:Days required to Join:Note: Candidate with 6+ months of experience will be preferred.Freshers can also apply.Thanks & Regards,Sandip JobanputraNetXs SolutionsJob Type: Full-timeSalary: ₹10,000.00 to ₹20,000.00 /monthEducation:Secondary(10th Pass) (Preferred)Industry:Software Development",netxs solutions ahmedabad urgent openings jr java developer looking person knowledge skills listed jspservletsajaxstrutshibernatejava scriptmicrosoft sql serverplease provide following information along resume current location willing relocate current salary exp ected salary days required join note candidate 6 months exp preferred freshers also apply thanks regards sandip jobanputranetxs solutionsjob type full timesalary 10 000 00 20 000 00 montheducation secondary 10th pass preferred industry software development,"['ajax', 'jsp', 'servlets', 'struts', 'hibernate', 'sql']",ajax jsp servlets struts hibernate sql,0.6,
11,"We are currently hiring for a Fresher Java developer for Nagpur And Pune Location.
Hands on experience in Java-J2EE Development expertise in Core Java, J2EE, JSP, Servlet, Web services, Spring, Hibernate, Java Script, JQuery and AJAX.Proficiency with PL/SQL on MySql or Oracle.Possess advanced knowledge of object-oriented design and development (OOAD) on J2EE framework and data architectures.Hands on in applying Design patterns to solve problems.Demonstrate strong written and oral communication skills.Hands on experience in Tomcat and Web logic/Web sphere servers.To develop and guide the team members in enhancing their technical capabilities and increasing productivity.
Skills:
OOPs concept
Core and Advance Java
Desired Candidate Profile:
Please refer to the Job description above
Education-
-UG: Any Graduate - Any Specialization
PG:Post Graduation Not Required
Send you Resume on:
info@concoursesols.com",currently hiring fresher java developer nagpur pune location hands exp java j2ee development exp ertise core java j2ee jsp servlet web services spring hibernate java script jquery ajax proficiency pl sql mysql oracle possess advanced knowledge object oriented design development ooad j2ee framework data architectures hands applying design patterns solve problems demonstrate strong written oral communication skills hands exp tomcat web logic web sphere servers develop guide team members enhancing technical capabilities increasing productivity skills oops concept core advance java desired candidate profile please refer description education ug graduate specialization pg post graduation required send resume info concoursesols com,"['ajax', 'tomcat', 'j2ee', 'jsp', 'spring', 'jquery', 'oop', 'hibernate', 'sql']",ajax tomcat j2ee jsp spring jquery oop hibernate sql,0.0,
12,"Job Type : Fresher / Experienced

Minimum Qualification : B.E, B.Tech, B.C.A, M.C.A

Skills Required : JSP / Servlets, Web Frameworks like Struts / Spring, Service Oriented Architecture / Web Services – SOAP / REST, Web Technologies like HTML,CSS, Javascript and JQuery ,Markup Languages like XML and JSON.

Job Description :

Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance in Java.
Contribute in all phases of the development lifecycle.
Write well designed, testable, efficient code.
Support continuous improvement by investigating alternatives and technologies.
Defines site objectives by analyzing user requirements; envisioning system features and functionality.
Designs and develops user interfaces by setting expectations and features priorities throughout development life cycle; determining design methodologies and tool sets; completing programming using languages and software products; designing and conducting tests.
Supports users by developing documentation and assistance tools.
Updates job knowledge by researching new technologies and software products.",type fresher exp minimum qualification b e b tech b c c skills required jsp servlets web frameworks like struts spring service oriented architecture web services soap rest web technologies like html css javascript jquery markup languages like xml json description design develop high volume low latency applications mission critical systems delivering high availability performance java contribute phases development lifecycle write well designed testable efficient code support continuous improvement investigating alternatives technologies defines site objectives analyzing user requirements envisioning system features functionality designs develops user interfaces setting exp ectations features priorities throughout development life cycle determining design methodologies tool sets completing programming using languages software products designing conducting tests supports users developing documentation assistance tools updates knowledge researching new technologies software products,"['jsp', 'servlets', 'struts', 'spring', 'soap', 'rest', 'html', 'css', 'javascript', 'jquery', 'xml', 'json']",jsp servlets struts spring soap rest html css javascript jquery xml json,0.0,
13,"Job Summarywe are hiring for only freshers java web devaloper networkingRequired Experience, Skills and Qualificationsonly freshersBenefitstrainingJob Type: Full-timeSalary: ₹15,000.00 to ₹30,000.00 /monthExperience:total work: 1 year (Preferred)JSP: 1 year (Preferred)java: 1 year (Preferred)Education:Bachelor's (Preferred)Licence:Java SE 7 Programmer (Preferred)",hiring freshers java web devaloper networkingrequired exp skills qualificationsonly freshersbenefitstrainingjob type full timesalary 15 000 00 30 000 00 monthexp total work 1 year preferred jsp 1 year preferred java 1 year preferred education bachelor preferred licence java se 7 programmer preferred,['jsp'],jsp,1.0,
14,"About the company:
We are IITK based startup working on a 'one-for-all' solution for a range of problems faced by students. Campus Haat is a hyperlocal community platform where all the students, professors, residents, local vendors can join, participate, and eventually benefit each other. We aim to minimize the cost of education by providing better resources at an affordable price. Our main area of focus is resource sharing (P-2-P), academics, food, transportation, and accommodation. We are creating a mobile & web solution aimed to solve problems using a combination of online-offline approach.
About the internship/job:
We are looking for passionate Java developers who want to solve real-world problems using the latest technologies, someone who wants to keep learning and push the limits to make a real-life impact. Selected intern's day-to-day responsibilities include: 1. Design and develop a scalable and robust system/web-services to be used by mobile and web applications (Android/iOS/web) 2. Design and create database models (both relational/MySQL and NoSQL/DynamoDB) 3. Design and create REST API 4. Create test cases, write scripts, including edge cases 5. Fix bugs and work on performance optimizations
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 31st Oct'19 and 30th Nov'19
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Categories: Java,Software Development,Computer Science,Engineering",company iitk based startup working one solution range problems faced students campus haat hyperlocal community platform students professors residents local vendors join participate eventually benefit aim minimize cost education providing better resources affordable price main area focus resource sharing p 2 p academics food transportation accommodation creating mobile web solution aimed solve problems using combination online offline approach internship looking passionate java developers want solve real world problems using latest technologies someone wants keep learning push limits make real life impact selected intern day day responsibilities include 1 design develop scalable robust system web services used mobile web applications android ios web 2 design create database models relational mysql nosql dynamodb 3 design create rest api 4 create test cases write scripts including edge cases 5 fix bugs work performance optimizations apply students freshers apply available part time internship may part time office part time home work home online relevant skills interests start part time internship 31st oct 19 30th nov 19 available duration 3 months already graduated currently year study females willing start restart career may also apply number internships jobs available 2 categories java software development computer science engineering,"['rest', 'android', 'sql']",rest android sql,0.3,
15,"Job SummaryGreetings from shell pro tech......!!!!We are hiring for freshers who are having good programming knowledge and good good communication skills and good logical thinking ability.Candidate should any programming knowledge like C,Java..ete..who are interested they can apply.all the best,thank youJob Types: Full-time, Fresher, Walk-InSalary: ₹12,000.00 to ₹15,000.00 /monthIndustry:IT Operations & Helpdesk",greetings shell pro tech hiring freshers good programming knowledge good good communication skills good logical thinking ability candidate programming knowledge like c java ete interested apply best thank youjob types full time fresher walk insalary 12 000 00 15 000 00 monthindustry operations helpdesk,['rest'],rest,0.0,
16,"Job SummaryJob DescriptionJob SummaryAvishkar Innovative Pvt. Ltd. an academic initiative is inviting for all students from CS Background like BCA/MCA, B.Tech and BSc. IT, having good knowledge in Java can apply for 8 months of Industrial Internship. Under the Internship students can have an opportunity to work on real time projects in Java (as a Java Developer) and after completion of successful 8 months Internship, Certificate will provide according to that duration.Work Location: - Avishkar Innovative Pvt. Ltd.No. 970/32, 11th Main Road,50 Feet Road, Raghavendra Block,Srinagar, Bangalore-560050.Timing: 9.30 AM to 5.30 PMContact number +919731940069Responsibilities and DutiesJava Developer with Full-time Internship.Key SkillsStudents Bachelor Degree from CS Background.Required Experience and QualificationsFresher, Full-time Internship.BenefitsKey SkillsStudents Bachelor Degree from CS BackgroundRequired Experience and QualificationsFresher, Full-time Internship.BenefitsNo Stipend will be provided.Job Type: Full-timeExperience:java: 1 year (Preferred)Education:Bachelor's (Preferred)Licence:Java SE 7 Programmer (Preferred)Industry:Software Development",descriptionjob avishkar innovative pvt ltd academic initiative inviting students cs background like bca mca b tech bsc good knowledge java apply 8 months industrial internship internship students opportunity work real time projects java java developer completion successful 8 months internship certificate provide according duration work location avishkar innovative pvt ltd 970 32 11th main road 50 feet road raghavendra block srinagar bangalore 560050 timing 9 30 5 30 pmcontact number 919731940069responsibilities dutiesjava developer full time internship key skillsstudents bachelor degree cs background required exp qualificationsfresher full time internship benefitskey skillsstudents bachelor degree cs backgroundrequired exp qualificationsfresher full time internship benefitsno stipend provided type full timeexp java 1 year preferred education bachelor preferred licence java se 7 programmer preferred industry software development,[],,1.8,
17,"Must have scored atleast 70% in 10th or 12th standard
Nice to have experience with HTML/CSS/JavaScript/jQuery
Knowledge of SQL and relational database concepts
Spring and Hibernate experience a plus
Strong OOP & OOAD fundamentals
Must have a problem solving attitude
Excellent written and oral communication",must scored atleast 70 10th 12th standard nice exp html css javascript jquery knowledge sql relational database concepts spring hibernate exp plus strong oop ooad fundamentals must problem solving attitude excellent written oral communication,"['spring', 'html', 'css', 'javascript', 'jquery', 'oop', 'hibernate', 'sql']",spring html css javascript jquery oop hibernate sql,0.0,
18,"Job SummaryLooking for fresher Java Developers / C Developers.Qualification: B.E./ B.Tech./ B.C.A./ M.C.A.Yr of pass: 2018/2019.Skills: Java, J2EE, Core JAVA, JSP, Spring, Hibernate/Good knowledge in C language.Industry: IT/Computers – SoftwareSalary: 10KJob Type: - Full TimeJob Location: - VizagWorking Days: - 6Job Type: Full-timeSalary: ₹10,000.00 to ₹12,000.00 /monthExperience:total work: 1 year (Preferred)JSP: 1 year (Preferred)Education:Bachelor's (Preferred)Benefits:Provident fund (PF)Industry:Software Development",looking fresher java developers c developers qualification b e b tech b c c year pass 2018 2019 skills java j2ee core java jsp spring hibernate good knowledge c language industry computers softwaresalary 10kjob type full timejob location vizagworking days 6job type full timesalary 10 000 00 12 000 00 monthexp total work 1 year preferred jsp 1 year preferred education bachelor preferred benefits provident fund pf industry software development,"['j2ee', 'jsp', 'spring', 'hibernate']",j2ee jsp spring hibernate,,
19,"Job SummaryAbout Us: HAP Labz is a start up - professional Web and Mobile development company based in India that endeavor on highly proficient, timely delivered, cost effective front-end and back-end software development services. Our team is highly experienced in offering offshore software development and project management. Some of our services includes but not limited to Web application development, Mobile application development, E-Commerce development and Desktop application development. Founders come with good experience, displays acute software expertise and has been successful in providing high-level services, support and solutions to our clients in India, Singapore, Australia, United States, Canada and Estonia to mention a few. We strongly believe in equal mix of hard and smart work and look forward to work in various industry verticals and provide an efficient, reliable, secure and timely solution to our clients.Website: www.haplabz.comResponsibilities and DutiesAs a Junior Software Engineer, you will be learning new technologies, coding, testing and implementing configuration changes and assisting in the design of software applications to meet both functional and technical requirements. you will also play a major role in the organization's software development, implementation and management of technology-based business solutions.Qualifications and SkillsExcellent English communication verbal and writtenShould have good HTML and CSS knowledgeShould be good with any one of the programming languages [C, C++, Java, Javascript, Python, PHP, etc.,]Should be a quick learner and be capable of learning new technologies from online sources like video or web tutorials within a short spanAny Bachelors Degree2018 and 2019 passed out batches onlySpecialization in Computer Science, Computer Technology or Information Technology will be an added advantage but not a compulsionShould be capable of handling client's pressured deadlinesShould be capable of working alone or with a small team [As this is a start up, you may have to work alone or with one or two more developers]BenefitsOpportunity to learn latest technologies like Angular, React, Vue.js, Node.js etc.,You will be looking at yourself as a confident software developer by 1 year from the date of joiningYou being a part of a start up company, we ensure growth of employees in parallel with the company's growthSalary hike twice a year [Jan and July every year]5 day work policy [You may be asked to work on Saturday's if there is a requirement]Job Type: Full-timeSalary: ₹10,000.00 /monthLanguage:Excellent English Communication (Required)Industry:Software Development",us hap labz start professional web mobile development company based india endeavor highly proficient timely delivered cost effective front end back end software development services team highly exp offering offshore software development project management services includes limited web application development mobile application development e commerce development desktop application development founders come good exp displays acute software exp ertise successful providing high level services support solutions clients india singapore australia united states canada estonia mention strongly believe equal mix hard smart work look forward work various industry verticals provide efficient reliable secure timely solution clients website www haplabz comresponsibilities dutiesas junior software engineer learning new technologies coding testing implementing configuration changes assisting design software applications meet functional technical requirements also play major role organization software development implementation management technology based business solutions qualifications skillsexcellent english communication verbal writtenshould good html css knowledgeshould good one programming languages c c java javascript python php etc quick learner capable learning new technologies online sources like video web tutorials within short spanany bachelors degree2018 2019 passed batches onlyspecialization computer science computer technology information technology added advantage compulsionshould capable handling client pressured deadlinesshould capable working alone small team start may work alone one two developers benefitsopportunity learn latest technologies like angular react vue js node js etc looking confident software developer 1 year date joiningyou part start company ensure growth employees parallel company growthsalary hike twice year jan july every year 5 day work policy may asked work saturday requirement type full timesalary 10 000 00 monthlanguage excellent english communication required industry software development,"['html', 'css', 'javascript', 'testing', 'angular', 'vue']",html css javascript testing angular vue,1.0,
20,"Fresher Candidate required who is Dedicated to WORK & having Positive attitude to do WORK and good Knowledge over Design, build, and maintain high performance, reusable, and reliable Java code and advance coding concept in OOPs, Translate designs and wireframes into high quality code , good knowledge of SDLC process. The candidate will be involved in client interactions; along with technical expertise the candidate should have good communication and analytical Skills.

Salary :As per the Industry Norms.

**Training / internship period is not considered as experience",fresher candidate required dedicated work positive attitude work good knowledge design build maintain high performance reusable reliable java code advance coding concept oops translate designs wireframes high quality code good knowledge sdlc process candidate involved client interactions along technical exp ertise candidate good communication analytical skills salary per industry norms training internship period considered exp,['oop'],oop,0.0,
